"Year","Canton","TypeofOwner","NrofOwners","TotalArea","ProductiveArea","Hardwood","Softwood","TotalSpecies"
"1979","Appenzell Innerrhoden",">>Other public forest","25","1785","1581",NA,NA,NA
"1979","St. Gallen","Type of owners - Total","15879","50084","46451","483275","108140","591415"
"1979","St. Gallen","Private forest","15621","18323","18323","196220","29460","225680"
"1979","St. Gallen","Public forest","258","31761","28128","287055","78680","365735"
"1979","St. Gallen",">>Federal forest","1","52","48",NA,NA,NA
"1979","St. Gallen",">>Cantonal forest","1","2035","1793",NA,NA,NA
"1979","St. Gallen",">>Municipality forest","29","429","410",NA,NA,NA
"1979","St. Gallen",">>Bourgeois forest","110","24602","21662",NA,NA,NA
"1979","St. Gallen",">>Other public forest","117","4643","4215",NA,NA,NA
"1979","Graubünden / Grigioni / Grischun","Type of owners - Total","10259","174266","138351","838985","50192","889177"
"1979","Graubünden / Grigioni / Grischun","Private forest","9993","14201","14201","10690","2200","12890"
"1979","Graubünden / Grigioni / Grischun","Public forest","266","160065","124150","828295","47992","876287"
"1979","Graubünden / Grigioni / Grischun",">>Federal forest","1","224","46",NA,NA,NA
"1979","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","840","583",NA,NA,NA
"1979","Graubünden / Grigioni / Grischun",">>Municipality forest","227","153912","119390",NA,NA,NA
"1979","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1979","Graubünden / Grigioni / Grischun",">>Other public forest","37","5089","4131",NA,NA,NA
"1979","Thurgau","Type of owners - Total","8767","18828","18694","330332","132670","463002"
"1979","Thurgau","Private forest","8674","10307","10307","179668","54905","234573"
"1979","Thurgau","Public forest","93","8521","8387","150664","77765","228429"
"1979","Thurgau",">>Federal forest","1","191","126",NA,NA,NA
"1979","Thurgau",">>Cantonal forest","1","1417","1407",NA,NA,NA
"1979","Thurgau",">>Municipality forest","0","0","0",NA,NA,NA
"1979","Thurgau",">>Bourgeois forest","77","5996","5938",NA,NA,NA
"1979","Thurgau",">>Other public forest","14","917","916",NA,NA,NA
"1980","Glarus","Type of owners - Total","1456","16537","14355","87550","23300","110850"
"1980","Glarus","Private forest","1418","1646","1646","720","500","1220"
"1980","Glarus","Public forest","38","14891","12709","86830","22800","109630"
"1980","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1980","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1980","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1980","Glarus",">>Bourgeois forest","31","14393","12269",NA,NA,NA
"1980","Glarus",">>Other public forest","4","227","219",NA,NA,NA
"1980","Schaffhausen","Type of owners - Total","2134","12571","12386","170455","33725","204180"
"1980","Schaffhausen","Private forest","2102","1968","1968","13200","1600","14800"
"1980","Schaffhausen","Public forest","32","10603","10418","157255","32125","189380"
"1980","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1980","Schaffhausen",">>Cantonal forest","1","2146","2088",NA,NA,NA
"1980","Schaffhausen",">>Municipality forest","30","8449","8322",NA,NA,NA
"1980","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1980","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1980","Appenzell Ausserrhoden","Type of owners - Total","4018","5954","5927","56226","6420","62646"
"1980","Appenzell Ausserrhoden","Private forest","3993","4462","4462","42751","4755","47506"
"1980","Appenzell Ausserrhoden","Public forest","25","1492","1465","13475","1665","15140"
"1980","Appenzell Ausserrhoden",">>Federal forest","1","164","164",NA,NA,NA
"1980","Appenzell Ausserrhoden",">>Cantonal forest","1","326","305",NA,NA,NA
"1980","Appenzell Ausserrhoden",">>Municipality forest","21","989","983",NA,NA,NA
"1980","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1980","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1980","Appenzell Innerrhoden","Type of owners - Total","1677","5012","4786","36992","620","37612"
"1980","Appenzell Innerrhoden","Private forest","1650","3100","3100","17442","75","17517"
"1980","Appenzell Innerrhoden","Public forest","27","1912","1686","19550","545","20095"
"1980","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1980","Appenzell Innerrhoden",">>Cantonal forest","1","113","91",NA,NA,NA
"1980","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
