"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Central Plain";"St. Gallen";"Type of owners - Total";"Species - Total";302888
"1975";"Central Plain";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";272190
"1975";"Central Plain";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";30698
"1975";"Central Plain";"St. Gallen";"Private forest";"Species - Total";173565
"1975";"Central Plain";"St. Gallen";"Private forest";"Hardwood (deciduous)";163250
"1975";"Central Plain";"St. Gallen";"Private forest";"Softwood (conifers)";10315
"1975";"Central Plain";"St. Gallen";"Public forest";"Species - Total";129323
"1975";"Central Plain";"St. Gallen";"Public forest";"Hardwood (deciduous)";108940
"1975";"Central Plain";"St. Gallen";"Public forest";"Softwood (conifers)";20383
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
