"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1994";"Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1994";"Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1994";"Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1994";"Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1994";"Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1994";"Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1994";"Alps";"St. Gallen";"Type of owners - Total";"Species - Total";39896
"1994";"Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";22527
"1994";"Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";17369
"1994";"Alps";"St. Gallen";"Private forest";"Species - Total";1600
"1994";"Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";600
"1994";"Alps";"St. Gallen";"Private forest";"Softwood (conifers)";1000
"1994";"Alps";"St. Gallen";"Public forest";"Species - Total";38296
"1994";"Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";21927
"1994";"Alps";"St. Gallen";"Public forest";"Softwood (conifers)";16369
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";571212
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";348991
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";222221
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";24820
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";11296
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";13524
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";546392
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";337695
"1994";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";208697
"1994";"Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1994";"Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Alps";"Thurgau";"Private forest";"Species - Total";0
"1994";"Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1994";"Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1994";"Alps";"Thurgau";"Public forest";"Species - Total";0
"1994";"Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1994";"Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Glarus";"Type of owners - Total";"Species - Total";0
"1994";"Southern Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Southern Alps";"Glarus";"Private forest";"Species - Total";0
"1994";"Southern Alps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Glarus";"Private forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Glarus";"Public forest";"Species - Total";0
"1994";"Southern Alps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Glarus";"Public forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1994";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Southern Alps";"Schaffhausen";"Private forest";"Species - Total";0
"1994";"Southern Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Schaffhausen";"Public forest";"Species - Total";0
"1994";"Southern Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1994";"Southern Alps";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1994";"Southern Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Southern Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Southern Alps";"St. Gallen";"Private forest";"Species - Total";0
"1994";"Southern Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1994";"Southern Alps";"St. Gallen";"Public forest";"Species - Total";0
"1994";"Southern Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";48960
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";18800
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";30160
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";250
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";100
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";150
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";48710
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";18700
"1994";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";30010
"1994";"Southern Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1994";"Southern Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1994";"Southern Alps";"Thurgau";"Private forest";"Species - Total";0
"1994";"Southern Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1994";"Southern Alps";"Thurgau";"Public forest";"Species - Total";0
"1994";"Southern Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1994";"Southern Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1995";"Switzerland";"Glarus";"Type of owners - Total";"Species - Total";64150
"1995";"Switzerland";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";28290
"1995";"Switzerland";"Glarus";"Type of owners - Total";"Softwood (conifers)";35860
"1995";"Switzerland";"Glarus";"Private forest";"Species - Total";2100
"1995";"Switzerland";"Glarus";"Private forest";"Hardwood (deciduous)";100
"1995";"Switzerland";"Glarus";"Private forest";"Softwood (conifers)";2000
"1995";"Switzerland";"Glarus";"Public forest";"Species - Total";62050
"1995";"Switzerland";"Glarus";"Public forest";"Hardwood (deciduous)";28190
"1995";"Switzerland";"Glarus";"Public forest";"Softwood (conifers)";33860
"1995";"Switzerland";"Schaffhausen";"Type of owners - Total";"Species - Total";83989
"1995";"Switzerland";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";53864
"1995";"Switzerland";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";30125
"1995";"Switzerland";"Schaffhausen";"Private forest";"Species - Total";4100
"1995";"Switzerland";"Schaffhausen";"Private forest";"Hardwood (deciduous)";3005
"1995";"Switzerland";"Schaffhausen";"Private forest";"Softwood (conifers)";1095
"1995";"Switzerland";"Schaffhausen";"Public forest";"Species - Total";79889
"1995";"Switzerland";"Schaffhausen";"Public forest";"Hardwood (deciduous)";50859
"1995";"Switzerland";"Schaffhausen";"Public forest";"Softwood (conifers)";29030
"1995";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";13315
"1995";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";10950
"1995";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";2365
"1995";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Species - Total";7525
"1995";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";6620
"1995";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";905
"1995";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Species - Total";5790
"1995";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";4330
"1995";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";1460
"1995";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";25005
"1995";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";22695
"1995";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";2310
"1995";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Species - Total";9155
"1995";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";8670
"1995";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";485
"1995";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Species - Total";15850
"1995";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";14025
"1995";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";1825
"1995";"Switzerland";"St. Gallen";"Type of owners - Total";"Species - Total";294597
"1995";"Switzerland";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";190446
"1995";"Switzerland";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";104151
"1995";"Switzerland";"St. Gallen";"Private forest";"Species - Total";65008
"1995";"Switzerland";"St. Gallen";"Private forest";"Hardwood (deciduous)";47225
"1995";"Switzerland";"St. Gallen";"Private forest";"Softwood (conifers)";17783
"1995";"Switzerland";"St. Gallen";"Public forest";"Species - Total";229589
"1995";"Switzerland";"St. Gallen";"Public forest";"Hardwood (deciduous)";143221
"1995";"Switzerland";"St. Gallen";"Public forest";"Softwood (conifers)";86368
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";475248
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";298235
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";177013
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";6966
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";3191
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";3775
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";468282
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";295044
"1995";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";173238
"1995";"Switzerland";"Thurgau";"Type of owners - Total";"Species - Total";301446
"1995";"Switzerland";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";151643
"1995";"Switzerland";"Thurgau";"Type of owners - Total";"Softwood (conifers)";149803
"1995";"Switzerland";"Thurgau";"Private forest";"Species - Total";126610
"1995";"Switzerland";"Thurgau";"Private forest";"Hardwood (deciduous)";74020
"1995";"Switzerland";"Thurgau";"Private forest";"Softwood (conifers)";52590
"1995";"Switzerland";"Thurgau";"Public forest";"Species - Total";174836
"1995";"Switzerland";"Thurgau";"Public forest";"Hardwood (deciduous)";77623
"1995";"Switzerland";"Thurgau";"Public forest";"Softwood (conifers)";97213
"1995";"Jura";"Glarus";"Type of owners - Total";"Species - Total";0
"1995";"Jura";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Jura";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Jura";"Glarus";"Private forest";"Species - Total";0
"1995";"Jura";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1995";"Jura";"Glarus";"Private forest";"Softwood (conifers)";0
"1995";"Jura";"Glarus";"Public forest";"Species - Total";0
"1995";"Jura";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1995";"Jura";"Glarus";"Public forest";"Softwood (conifers)";0
"1995";"Jura";"Schaffhausen";"Type of owners - Total";"Species - Total";81729
"1995";"Jura";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";53089
"1995";"Jura";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";28640
"1995";"Jura";"Schaffhausen";"Private forest";"Species - Total";3800
"1995";"Jura";"Schaffhausen";"Private forest";"Hardwood (deciduous)";2730
"1995";"Jura";"Schaffhausen";"Private forest";"Softwood (conifers)";1070
"1995";"Jura";"Schaffhausen";"Public forest";"Species - Total";77929
"1995";"Jura";"Schaffhausen";"Public forest";"Hardwood (deciduous)";50359
"1995";"Jura";"Schaffhausen";"Public forest";"Softwood (conifers)";27570
"1995";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1995";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Jura";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1995";"Jura";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1995";"Jura";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1995";"Jura";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1995";"Jura";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1995";"Jura";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1995";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1995";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Jura";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1995";"Jura";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1995";"Jura";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1995";"Jura";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1995";"Jura";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1995";"Jura";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1995";"Jura";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1995";"Jura";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Jura";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Jura";"St. Gallen";"Private forest";"Species - Total";0
"1995";"Jura";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1995";"Jura";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1995";"Jura";"St. Gallen";"Public forest";"Species - Total";0
"1995";"Jura";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1995";"Jura";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1995";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1995";"Jura";"Thurgau";"Type of owners - Total";"Species - Total";0
"1995";"Jura";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Jura";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Jura";"Thurgau";"Private forest";"Species - Total";0
"1995";"Jura";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1995";"Jura";"Thurgau";"Private forest";"Softwood (conifers)";0
"1995";"Jura";"Thurgau";"Public forest";"Species - Total";0
"1995";"Jura";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1995";"Jura";"Thurgau";"Public forest";"Softwood (conifers)";0
"1995";"Central Plain";"Glarus";"Type of owners - Total";"Species - Total";0
"1995";"Central Plain";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Central Plain";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Central Plain";"Glarus";"Private forest";"Species - Total";0
"1995";"Central Plain";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Glarus";"Private forest";"Softwood (conifers)";0
"1995";"Central Plain";"Glarus";"Public forest";"Species - Total";0
"1995";"Central Plain";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Glarus";"Public forest";"Softwood (conifers)";0
"1995";"Central Plain";"Schaffhausen";"Type of owners - Total";"Species - Total";2260
"1995";"Central Plain";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";775
"1995";"Central Plain";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";1485
"1995";"Central Plain";"Schaffhausen";"Private forest";"Species - Total";300
"1995";"Central Plain";"Schaffhausen";"Private forest";"Hardwood (deciduous)";275
"1995";"Central Plain";"Schaffhausen";"Private forest";"Softwood (conifers)";25
"1995";"Central Plain";"Schaffhausen";"Public forest";"Species - Total";1960
"1995";"Central Plain";"Schaffhausen";"Public forest";"Hardwood (deciduous)";500
"1995";"Central Plain";"Schaffhausen";"Public forest";"Softwood (conifers)";1460
"1995";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1995";"Central Plain";"St. Gallen";"Type of owners - Total";"Species - Total";114187
"1995";"Central Plain";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";79556
"1995";"Central Plain";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";34631
"1995";"Central Plain";"St. Gallen";"Private forest";"Species - Total";39397
"1995";"Central Plain";"St. Gallen";"Private forest";"Hardwood (deciduous)";29269
"1995";"Central Plain";"St. Gallen";"Private forest";"Softwood (conifers)";10128
"1995";"Central Plain";"St. Gallen";"Public forest";"Species - Total";74790
"1995";"Central Plain";"St. Gallen";"Public forest";"Hardwood (deciduous)";50287
"1995";"Central Plain";"St. Gallen";"Public forest";"Softwood (conifers)";24503
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1995";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1995";"Central Plain";"Thurgau";"Type of owners - Total";"Species - Total";301446
"1995";"Central Plain";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";151643
"1995";"Central Plain";"Thurgau";"Type of owners - Total";"Softwood (conifers)";149803
"1995";"Central Plain";"Thurgau";"Private forest";"Species - Total";126610
"1995";"Central Plain";"Thurgau";"Private forest";"Hardwood (deciduous)";74020
"1995";"Central Plain";"Thurgau";"Private forest";"Softwood (conifers)";52590
"1995";"Central Plain";"Thurgau";"Public forest";"Species - Total";174836
"1995";"Central Plain";"Thurgau";"Public forest";"Hardwood (deciduous)";77623
"1995";"Central Plain";"Thurgau";"Public forest";"Softwood (conifers)";97213
"1995";"Prealps";"Glarus";"Type of owners - Total";"Species - Total";0
"1995";"Prealps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Prealps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Prealps";"Glarus";"Private forest";"Species - Total";0
"1995";"Prealps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1995";"Prealps";"Glarus";"Private forest";"Softwood (conifers)";0
"1995";"Prealps";"Glarus";"Public forest";"Species - Total";0
"1995";"Prealps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1995";"Prealps";"Glarus";"Public forest";"Softwood (conifers)";0
"1995";"Prealps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1995";"Prealps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Prealps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Prealps";"Schaffhausen";"Private forest";"Species - Total";0
"1995";"Prealps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1995";"Prealps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1995";"Prealps";"Schaffhausen";"Public forest";"Species - Total";0
"1995";"Prealps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1995";"Prealps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1995";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";13315
"1995";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";10950
"1995";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";2365
"1995";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";7525
"1995";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";6620
"1995";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";905
"1995";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";5790
"1995";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";4330
"1995";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";1460
"1995";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";25005
"1995";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";22695
"1995";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";2310
"1995";"Prealps";"Appenzell Innerrhoden";"Private forest";"Species - Total";9155
"1995";"Prealps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";8670
"1995";"Prealps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";485
"1995";"Prealps";"Appenzell Innerrhoden";"Public forest";"Species - Total";15850
"1995";"Prealps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";14025
"1995";"Prealps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";1825
"1995";"Prealps";"St. Gallen";"Type of owners - Total";"Species - Total";135500
"1995";"Prealps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";79140
"1995";"Prealps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";56360
"1995";"Prealps";"St. Gallen";"Private forest";"Species - Total";22361
"1995";"Prealps";"St. Gallen";"Private forest";"Hardwood (deciduous)";14756
"1995";"Prealps";"St. Gallen";"Private forest";"Softwood (conifers)";7605
"1995";"Prealps";"St. Gallen";"Public forest";"Species - Total";113139
"1995";"Prealps";"St. Gallen";"Public forest";"Hardwood (deciduous)";64384
"1995";"Prealps";"St. Gallen";"Public forest";"Softwood (conifers)";48755
"1995";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1995";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1995";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1995";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1995";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
