"Forest area in Switzerland, in ha"

"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Central Plain";"Glarus";">>Bourgeois forest";0;0;0
"1975";"Central Plain";"Glarus";">>Other public forest";0;0;0
"1975";"Central Plain";"Schaffhausen";"Type of owners - Total";155;339;338
"1975";"Central Plain";"Schaffhausen";"Private forest";153;137;137
"1975";"Central Plain";"Schaffhausen";"Public forest";2;202;201
"1975";"Central Plain";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Central Plain";"Schaffhausen";">>Cantonal forest";0;0;0
"1975";"Central Plain";"Schaffhausen";">>Municipality forest";2;202;201
"1975";"Central Plain";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Central Plain";"Schaffhausen";">>Other public forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Private forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Public forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";">>Federal forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";">>Cantonal forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";">>Municipality forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Central Plain";"Appenzell Ausserrhoden";">>Other public forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";"Private forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";"Public forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";">>Cantonal forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Central Plain";"Appenzell Innerrhoden";">>Other public forest";0;0;0
"1975";"Central Plain";"St. Gallen";"Type of owners - Total";5163;9971;9952
"1975";"Central Plain";"St. Gallen";"Private forest";5069;6128;6128
"1975";"Central Plain";"St. Gallen";"Public forest";94;3843;3824
"1975";"Central Plain";"St. Gallen";">>Federal forest";1;4;4
"1975";"Central Plain";"St. Gallen";">>Cantonal forest";1;487;487
"1975";"Central Plain";"St. Gallen";">>Municipality forest";17;118;118
"1975";"Central Plain";"St. Gallen";">>Bourgeois forest";26;2055;2046
"1975";"Central Plain";"St. Gallen";">>Other public forest";49;1179;1169
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";">>Federal forest";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";">>Cantonal forest";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";">>Municipality forest";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";">>Other public forest";0;0;0
"1975";"Central Plain";"Thurgau";"Type of owners - Total";8882;19031;18855
"1975";"Central Plain";"Thurgau";"Private forest";8749;10480;10480
"1975";"Central Plain";"Thurgau";"Public forest";133;8551;8375
"1975";"Central Plain";"Thurgau";">>Federal forest";1;192;127
"1975";"Central Plain";"Thurgau";">>Cantonal forest";1;1371;1367
"1975";"Central Plain";"Thurgau";">>Municipality forest";3;48;48
"1975";"Central Plain";"Thurgau";">>Bourgeois forest";95;5940;5833
"1975";"Central Plain";"Thurgau";">>Other public forest";33;1000;1000
"1975";"Prealps";"Glarus";"Type of owners - Total";0;0;0
"1975";"Prealps";"Glarus";"Private forest";0;0;0
"1975";"Prealps";"Glarus";"Public forest";0;0;0
"1975";"Prealps";"Glarus";">>Federal forest";0;0;0
"1975";"Prealps";"Glarus";">>Cantonal forest";0;0;0
"1975";"Prealps";"Glarus";">>Municipality forest";0;0;0
"1975";"Prealps";"Glarus";">>Bourgeois forest";0;0;0
"1975";"Prealps";"Glarus";">>Other public forest";0;0;0
"1975";"Prealps";"Schaffhausen";"Type of owners - Total";0;0;0
"1975";"Prealps";"Schaffhausen";"Private forest";0;0;0
"1975";"Prealps";"Schaffhausen";"Public forest";0;0;0
"1975";"Prealps";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Prealps";"Schaffhausen";">>Cantonal forest";0;0;0
"1975";"Prealps";"Schaffhausen";">>Municipality forest";0;0;0
"1975";"Prealps";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Prealps";"Schaffhausen";">>Other public forest";0;0;0
"1975";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";4120;6435;6411
"1975";"Prealps";"Appenzell Ausserrhoden";"Private forest";4095;5051;5051
"1975";"Prealps";"Appenzell Ausserrhoden";"Public forest";25;1384;1360
"1975";"Prealps";"Appenzell Ausserrhoden";">>Federal forest";1;163;163
"1975";"Prealps";"Appenzell Ausserrhoden";">>Cantonal forest";1;274;253
"1975";"Prealps";"Appenzell Ausserrhoden";">>Municipality forest";21;934;931
"1975";"Prealps";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Prealps";"Appenzell Ausserrhoden";">>Other public forest";2;13;13
"1975";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";1685;4999;4509
"1975";"Prealps";"Appenzell Innerrhoden";"Private forest";1663;3099;3099
"1975";"Prealps";"Appenzell Innerrhoden";"Public forest";22;1900;1410
"1975";"Prealps";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Prealps";"Appenzell Innerrhoden";">>Cantonal forest";1;154;132
"1975";"Prealps";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Prealps";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Prealps";"Appenzell Innerrhoden";">>Other public forest";21;1746;1278
"1975";"Prealps";"St. Gallen";"Type of owners - Total";7495;26062;24684
"1975";"Prealps";"St. Gallen";"Private forest";7355;9578;9578
"1975";"Prealps";"St. Gallen";"Public forest";140;16484;15106
"1975";"Prealps";"St. Gallen";">>Federal forest";0;0;0
"1975";"Prealps";"St. Gallen";">>Cantonal forest";1;878;808
"1975";"Prealps";"St. Gallen";">>Municipality forest";9;225;221
"1975";"Prealps";"St. Gallen";">>Bourgeois forest";63;12138;11159
"1975";"Prealps";"St. Gallen";">>Other public forest";67;3243;2918
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";">>Federal forest";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";">>Cantonal forest";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";">>Municipality forest";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";">>Other public forest";0;0;0
"1975";"Prealps";"Thurgau";"Type of owners - Total";0;0;0
"1975";"Prealps";"Thurgau";"Private forest";0;0;0
"1975";"Prealps";"Thurgau";"Public forest";0;0;0
"1975";"Prealps";"Thurgau";">>Federal forest";0;0;0
"1975";"Prealps";"Thurgau";">>Cantonal forest";0;0;0
"1975";"Prealps";"Thurgau";">>Municipality forest";0;0;0
"1975";"Prealps";"Thurgau";">>Bourgeois forest";0;0;0
"1975";"Prealps";"Thurgau";">>Other public forest";0;0;0
"1975";"Alps";"Glarus";"Type of owners - Total";1458;16492;14268
"1975";"Alps";"Glarus";"Private forest";1420;1654;1654
"1975";"Alps";"Glarus";"Public forest";38;14838;12614
"1975";"Alps";"Glarus";">>Federal forest";1;109;99
"1975";"Alps";"Glarus";">>Cantonal forest";1;84;78
"1975";"Alps";"Glarus";">>Municipality forest";1;54;48
"1975";"Alps";"Glarus";">>Bourgeois forest";31;14365;12169
